respondent_id_number,number_of_children,age_of_respondent,highest_year_of_school_completed,highest_year_school_completed_father,highest_year_school_completed_mother,highest_year_school_completed_spouse,college_major_1,college_major_2,diploma_ged_or_other,respondents_sex,number_of_brothers_and_sisters,labor_force_status,number_of_hours_worked_last_week,number_of_hours_usually_work_a_week,self_emp_or_works_for_somebody,govt_or_private_employee,occupation_code,marital_status,marital_type,race_of_respondent,born_in_us,should_govt_reduce_income_differences,favor_or_oppose_death_penalty_for_murder,should_marijuana_be_made_legal,rs_religious_preference,specific_denomination,other_protestant_denominations,general_happiness,condition_of_health,is_life_exciting_or_dull,ballot_used_for_interview,parks_and_recreation,mass_transportation,number_of_persons_in_household,total_family_income,respondents_income,region_of_interview,size_of_place_in_1000s,political_party_affiliation,think_of_self_as_liberal_or_conservative,space_exploration_program,improving_protecting_environment,improving_protecting_nations_health,lived_in_us
11,2,59,19,12,12,NA,Health,Finance,High school diploma,Male,3,Working fulltime,40,NA,Someone else,Private,Chief executives,Divorced,NA,White,Yes,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Excellent,Exciting,Ballot a,About right,About right,2,$25000 or more,$25000 or more,New England,56,NA,Conservative,NA,NA,NA,NA
12,3,34,14,NA,14,NA,NA,NA,High school diploma,Female,2,Working parttime,20,NA,Someone else,Private,Bus drivers,Separated,NA,Other,Yes,3,Favor,NA,Protestant,No denomination,NA,Pretty happy,NA,NA,Ballot b,About right,About right,4,$20000 - 24999,$15000 - 19999,New England,56,Democrat,Moderate,NA,NA,NA,NA
13,2,61,13,NA,12,NA,NA,NA,High school diploma,Female,9,Retired,NA,NA,Someone else,Government,Postal service clerks,Divorced,NA,White,Yes,NA,Favor,NA,Catholic,NA,NA,Not too happy,Poor,Routine,Ballot a,Too little,Too little,1,$20000 - 24999,(Missing),New England,56,Democrat,Moderate,Too much,Too little,Too little,NA
14,2,44,16,16,12,14,General sciences,NA,High school diploma,Male,6,Working fulltime,40,NA,Someone else,Private,Chemists and materials scientists,Married,Marriage between a man and a woman,Black,No,Govt reduce diff,Favor,Legal,Catholic,NA,NA,Very happy,Excellent,Exciting,Ballot c,About right,About right,3,$25000 or more,$25000 or more,Middle Atlantic,125,Democrat,Slightly liberal,NA,NA,NA,20
15,2,41,12,15,16,NA,NA,NA,High school diploma,Female,4,Keeping house,NA,NA,Someone else,Private,Cashiers,Never married,NA,Black,Yes,Govt reduce diff,Favor,Legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,3,$1000 to 2999,(Missing),Middle Atlantic,125,Independent,Liberal,About right,Too little,Too little,NA
16,4,75,12,12,12,NA,NA,NA,High school diploma,Female,1,Working parttime,19,NA,Someone else,Private,Marketing and sales managers,Widowed,NA,White,Yes,NA,Oppose,NA,Catholic,NA,NA,Pretty happy,Good,Dull,Ballot a,Too little,NA,2,$25000 or more,$10000 - 14999,Middle Atlantic,84,NA,Slghtly conservative,NA,NA,NA,NA
17,0,55,16,14,13,14,Health,NA,High school diploma,Female,1,"Unempl, laid off",NA,NA,Someone else,Private,Registered nurses,Married,Marriage between a man and a woman,White,Yes,Govt reduce diff,Oppose,Legal,None,NA,NA,Not too happy,NA,NA,Ballot b,Too little,Too little,2,$25000 or more,$25000 or more,Middle Atlantic,84,Independent,Liberal,NA,NA,NA,NA
18,2,30,16,16,16,16,Chemistry,NA,High school diploma,Female,3,Keeping house,NA,NA,NA,NA,NA,Married,Marriage between a man and a woman,White,No,NA,Oppose,NA,Moslem/islam,NA,NA,Very happy,Excellent,Routine,Ballot a,About right,About right,4,(Missing),(Missing),Middle Atlantic,84,NA,Conservative,NA,About right,NA,6
19,2,40,20,15,19,NA,Medicine,NA,High school diploma,Female,1,Working fulltime,40,NA,Someone else,Government,Secondary school teachers,Divorced,NA,White,Yes,2,Favor,Not legal,Protestant,Lutheran-dk which,NA,Pretty happy,Excellent,Routine,Ballot c,About right,Too little,3,$25000 or more,$25000 or more,Middle Atlantic,84,Democrat,Liberal,About right,Too little,Too little,NA
20,0,30,18,16,16,NA,Pharmacy,NA,High school diploma,Male,1,Working fulltime,40,NA,Someone else,Private,First-line supervisors of retail sales workers,Never married,NA,White,No,3,Favor,Legal,Catholic,NA,NA,Not too happy,NA,NA,Ballot b,About right,Too little,4,(Missing),Refused,Middle Atlantic,84,Independent,Moderate,NA,NA,NA,15
21,1,34,15,NA,17,12,NA,NA,High school diploma,Female,3,Working fulltime,42,NA,Someone else,Government,"Postal service mail sorters, processors, and processing  machine operators",Married,Marriage between a man and a woman,White,No,NA,Oppose,NA,Orthodox-christian,NA,NA,Very happy,Excellent,Exciting,Ballot a,About right,About right,3,$25000 or more,$25000 or more,Middle Atlantic,84,Republican,Conservative,Too much,Too little,Too little,14
22,0,29,14,12,12,NA,Biology,NA,High school diploma,Female,6,School,NA,NA,NA,NA,NA,Never married,NA,Other,Yes,2,NA,NA,Protestant,Other,Pentecostal,Pretty happy,Good,Routine,Ballot c,About right,About right,3,(Missing),(Missing),Middle Atlantic,84,Republican,Conservative,NA,NA,NA,NA
23,1,40,14,16,16,12,Nursing,NA,High school diploma,Female,4,Working fulltime,32,NA,Self-employed,Private,Registered nurses,Married,Marriage between a man and a woman,White,Yes,2,Favor,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,3,$25000 or more,$25000 or more,Middle Atlantic,84,Independent,Moderate,Too much,About right,Too little,NA
24,0,37,12,18,18,NA,NA,NA,High school diploma,Male,0,Working fulltime,50,NA,Self-employed,Private,"Drywall installers, ceiling tile installers, and tapers",Never married,NA,White,Yes,NA,Favor,NA,Buddhism,NA,NA,Very happy,Excellent,Exciting,Ballot a,Too little,Too little,2,$25000 or more,$25000 or more,Middle Atlantic,17,Democrat,Extremely liberal,NA,NA,NA,NA
25,3,56,16,16,16,16,Education,NA,High school diploma,Female,11,Working parttime,15,NA,Someone else,Private,Social workers,Married,Marriage between a man and a woman,White,Yes,NA,Oppose,NA,Protestant,No denomination,NA,Very happy,Good,Routine,Ballot a,About right,Too little,2,$25000 or more,$15000 - 19999,Middle Atlantic,17,Republican,Conservative,About right,Too little,Too little,NA
26,2,82,8,8,8,NA,NA,NA,NA,Male,1,Retired,NA,NA,Someone else,Private,"Maintenance and repair workers, general",Widowed,NA,White,No,Govt reduce diff,Favor,Legal,Catholic,NA,NA,Very happy,Excellent,Exciting,Ballot c,About right,About right,1,$25000 or more,(Missing),Middle Atlantic,17,Republican,Moderate,About right,Too little,Too little,60
27,3,68,12,12,12,NA,NA,NA,High school diploma,Female,1,Working fulltime,33,NA,Someone else,Private,Receptionists and information clerks,Divorced,NA,White,Yes,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Good,Routine,Ballot a,About right,About right,1,$25000 or more,$25000 or more,Middle Atlantic,17,Democrat,Moderate,Too much,NA,Too little,NA
28,5,42,9,0,10,NA,NA,NA,NA,Female,8,Keeping house,NA,NA,NA,NA,NA,Never married,NA,Black,Yes,4,Favor,Legal,Protestant,Baptist-dk which,NA,Not too happy,Excellent,Routine,Ballot c,Too little,About right,2,$10000 - 14999,(Missing),Middle Atlantic,17,Democrat,Moderate,NA,NA,NA,NA
29,3,40,12,12,12,NA,NA,NA,High school diploma,Female,2,Keeping house,NA,NA,Someone else,Private,"Nursing, psychiatric, and home health aides",Divorced,NA,White,Yes,Govt reduce diff,Favor,Not legal,Catholic,NA,NA,Not too happy,NA,NA,Ballot b,About right,About right,4,$25000 or more,(Missing),Middle Atlantic,17,NA,Extrmly conservative,About right,Too little,Too little,NA
30,0,20,14,16,17,NA,NA,NA,High school diploma,Male,3,Working parttime,40,NA,Someone else,Private,Waiters and waitresses,Never married,NA,White,Yes,4,Oppose,NA,Catholic,NA,NA,Pretty happy,Excellent,Exciting,Ballot c,About right,Too much,4,$25000 or more,$10000 - 14999,Middle Atlantic,43,Independent,Liberal,About right,Too little,About right,NA
31,2,74,12,NA,12,12,NA,NA,High school diploma,Female,1,Retired,NA,NA,Someone else,Private,Registered nurses,Married,Marriage between a man and a woman,White,Yes,No govt action,Favor,Not legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,2,Refused,(Missing),Middle Atlantic,43,Independent,Extrmly conservative,NA,NA,NA,NA
32,7,89 or older,8,19,12,12,NA,NA,NA,Male,6,Retired,NA,NA,Someone else,Private,Supervisors of transportation and material moving workers,Married,Marriage between a man and a woman,White,Yes,5,Oppose,Not legal,Catholic,NA,NA,Not too happy,Fair,Routine,Ballot c,About right,Too little,2,$25000 or more,(Missing),Middle Atlantic,43,NA,Moderate,NA,NA,NA,NA
33,2,60,16,12,12,16,Accounting/bookkeeping,NA,High school diploma,Female,1,Keeping house,NA,NA,Someone else,Private,Accountants and auditors,Married,Marriage between a man and a woman,White,Yes,6,Oppose,Legal,Protestant,Other,Reformed,Pretty happy,NA,NA,Ballot b,About right,Too little,2,Refused,(Missing),Middle Atlantic,43,NA,Moderate,About right,Too little,Too little,NA
34,0,56,16,NA,16,NA,Biology,NA,High school diploma,Female,4,Working fulltime,46,NA,Someone else,Private,Medical and health services managers,Divorced,NA,White,Yes,NA,Oppose,NA,None,NA,NA,Pretty happy,Fair,Exciting,Ballot a,About right,Too little,1,$25000 or more,$25000 or more,Middle Atlantic,43,Democrat,Extremely liberal,About right,Too little,Too little,NA
35,3,55,10,9,8,NA,NA,NA,NA,Female,8,Working parttime,16,NA,Self-employed,NA,Childcare workers,Divorced,NA,White,No,Govt reduce diff,NA,Not legal,Protestant,Other,Pentecostal,Very happy,NA,NA,Ballot b,Too little,About right,1,Refused,Refused,Middle Atlantic,43,Independent,Conservative,Too much,Too little,Too little,30
36,5,65,18,12,12,20,Computer science,NA,High school diploma,Male,4,Working fulltime,40,NA,Someone else,Private,"Software developers, applications and systems software",Married,Marriage between a man and a woman,White,Yes,No govt action,Favor,Not legal,Jewish,NA,NA,Very happy,Excellent,Exciting,Ballot c,About right,About right,2,$25000 or more,$25000 or more,Middle Atlantic,14,NA,Extrmly conservative,About right,NA,About right,NA
37,1,71,20,14,12,NA,Other,NA,High school diploma,Female,1,Working parttime,20,NA,Someone else,Private,"Managers, all other",Widowed,NA,White,Yes,NA,Oppose,NA,Jewish,NA,NA,Pretty happy,Fair,Exciting,Ballot a,About right,Too little,1,$25000 or more,Refused,Middle Atlantic,14,Democrat,Moderate,About right,Too little,Too little,NA
38,0,34,20,16,18,NA,Biology,NA,High school diploma,Male,3,Working fulltime,45,NA,Someone else,Government,Biological scientists,Never married,NA,White,Yes,Govt reduce diff,Oppose,Legal,None,NA,NA,Not too happy,Good,Exciting,Ballot c,Too little,Too little,1,$25000 or more,$25000 or more,Middle Atlantic,14,Democrat,Extremely liberal,NA,NA,NA,NA
39,1,45,19,12,8,12,Environmental science/ecology,NA,High school diploma,Male,5,Working fulltime,50,NA,Someone else,Private,Other healthcare practitioners and technical occupations,Married,Marriage between a man and a woman,White,Yes,3,Oppose,Legal,Protestant,United methodist,NA,Pretty happy,NA,NA,Ballot b,About right,About right,1,$25000 or more,$25000 or more,Middle Atlantic,14,Independent,Slghtly conservative,About right,Too little,About right,NA
40,NA,50,12,NA,NA,NA,NA,NA,High school diploma,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,Black,NA,NA,Favor,NA,None,NA,NA,Pretty happy,Good,NA,Ballot a,About right,Too little,1,Refused,Refused,Middle Atlantic,14,NA,Moderate,NA,NA,NA,NA
41,2,65,12,12,12,NA,NA,NA,High school diploma,Female,8,Working parttime,30,NA,Someone else,Private,Bus drivers,Divorced,NA,White,Yes,3,Oppose,Legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,1,$10000 - 14999,$10000 - 14999,Middle Atlantic,14,Democrat,Slightly liberal,NA,NA,NA,NA
42,0,52,12,NA,10,NA,NA,NA,High school diploma,Male,1,Working fulltime,40,NA,Someone else,Private,Bus and truck mechanics and diesel engine specialists,Never married,NA,White,Yes,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Good,Routine,Ballot a,About right,Too little,2,$25000 or more,$25000 or more,Middle Atlantic,14,Democrat,Moderate,Too much,Too little,Too little,NA
43,1,62,12,12,12,NA,NA,NA,High school diploma,Female,4,Retired,NA,NA,Someone else,Private,Janitors and building cleaners,Widowed,NA,White,Yes,3,Favor,Legal,Catholic,NA,NA,Very happy,NA,NA,Ballot b,Too little,Too little,1,$25000 or more,(Missing),Middle Atlantic,11,Democrat,Moderate,NA,NA,NA,NA
44,0,60,18,20,16,16,Computer science,NA,High school diploma,Male,1,Temp not working,NA,NA,Someone else,Private,Market research analysts and marketing specialists,Married,Marriage between a man and a woman,Other,No,2,Oppose,Legal,Other,NA,NA,Pretty happy,Excellent,Exciting,Ballot c,About right,Too little,2,Refused,Refused,Middle Atlantic,11,Democrat,Moderate,NA,NA,NA,36
45,2,62,16,NA,8,NA,Fine arts,NA,High school diploma,Female,3,Keeping house,NA,NA,Someone else,Private,Photographers,Divorced,NA,White,No,5,Oppose,Legal,Moslem/islam,NA,NA,Pretty happy,Excellent,Exciting,Ballot c,About right,About right,2,$25000 or more,$25000 or more,Middle Atlantic,11,Independent,Liberal,About right,Too little,Too little,60
46,3,46,12,11,6,NA,NA,NA,High school diploma,Female,5,Working parttime,25,NA,Someone else,Private,"Nursing, psychiatric, and home health aides",Widowed,NA,White,No,No govt action,Oppose,NA,Catholic,NA,NA,Not too happy,NA,NA,Ballot b,Too little,Too little,1,$25000 or more,$25000 or more,Middle Atlantic,11,Democrat,Slghtly conservative,NA,NA,NA,15
47,2,40,18,16,16,18,Business administration,NA,High school diploma,Male,3,Working parttime,20,NA,Self-employed,Private,"Wholesale and retail buyers, except farm products",Married,Marriage between a man and a woman,White,Yes,3,Oppose,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,4,$25000 or more,$25000 or more,Middle Atlantic,2,Democrat,Slightly liberal,About right,Too little,Too little,NA
48,3,53,18,NA,14,17,Finance,Computer science,High school diploma,Female,1,Keeping house,NA,NA,Someone else,Private,Computer systems analysts,Married,Marriage between a man and a woman,White,No,2,Favor,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,5,Refused,(Missing),Middle Atlantic,2,Democrat,Slightly liberal,NA,NA,NA,47
49,1,75,17,19,15,NA,History,NA,High school diploma,Male,2,Retired,NA,NA,Someone else,Private,Financial managers,Divorced,NA,White,Yes,No govt action,Favor,Not legal,Protestant,Episcopal,NA,Pretty happy,NA,NA,Ballot b,About right,About right,1,$25000 or more,(Missing),Middle Atlantic,2,Republican,Conservative,About right,Too little,Too little,NA
50,2,67,16,NA,18,NA,Nursing,NA,High school diploma,Female,2,Retired,NA,NA,Someone else,Private,"Nursing, psychiatric, and home health aides",Divorced,NA,White,Yes,NA,Oppose,NA,Other,NA,NA,Pretty happy,Good,Routine,Ballot a,About right,About right,2,$25000 or more,(Missing),Middle Atlantic,2,Independent,Moderate,NA,NA,NA,NA
51,0,22,14,16,12,NA,NA,NA,High school diploma,Male,2,Working fulltime,30,NA,Self-employed,Private,Insurance sales agents,Never married,NA,White,Yes,4,Oppose,Legal,Catholic,NA,NA,Pretty happy,Excellent,Exciting,Ballot c,About right,About right,4,(Missing),Refused,Middle Atlantic,2,NA,(Missing),Too little,Too little,Too little,NA
52,3,42,12,3,6,NA,NA,NA,High school diploma,Female,2,Working fulltime,40,NA,Someone else,Private,Marketing and sales managers,Separated,NA,White,No,NA,NA,NA,Protestant,Other,"Evangelical, Evangelist",Not too happy,Good,Routine,Ballot a,Too little,About right,4,$25000 or more,$25000 or more,Middle Atlantic,14,Democrat,Moderate,About right,Too little,Too little,26
53,2,59,18,18,17,NA,Nursing,NA,High school diploma,Female,1,Working fulltime,55,NA,Someone else,Private,"Nursing, psychiatric, and home health aides",Divorced,NA,White,No,5,Favor,NA,Jewish,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,2,$25000 or more,$25000 or more,Middle Atlantic,14,NA,Moderate,About right,Too little,About right,39
54,1,33,18,16,16,18,Medicine,NA,High school diploma,Female,1,School,NA,NA,Someone else,Private,Physicians and surgeons,Married,Marriage between a man and a woman,Other,No,Govt reduce diff,NA,Not legal,Hinduism,NA,NA,Very happy,Good,Routine,Ballot c,About right,Too little,3,$25000 or more,$25000 or more,Middle Atlantic,14,NA,Moderate,NA,Too little,Too much,7
55,2,46,16,17,17,16,Computer science,NA,High school diploma,Male,2,Working fulltime,40,NA,Someone else,Private,"Software developers, applications and systems software",Married,Marriage between a man and a woman,White,No,3,Oppose,Legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,2,Refused,Refused,Middle Atlantic,14,NA,Slightly liberal,NA,NA,NA,27
56,1,55,14,7,7,NA,Biology,NA,High school diploma,Male,1,Working fulltime,40,NA,Someone else,Government,Pharmacists,Divorced,NA,White,Yes,6,Favor,Legal,Catholic,NA,NA,Pretty happy,Fair,Routine,Ballot c,About right,Too little,2,$25000 or more,$25000 or more,Middle Atlantic,14,Republican,Moderate,NA,NA,NA,NA
57,2,43,16,8,8,16,Economics,NA,High school diploma,Female,3,Keeping house,NA,NA,Someone else,Private,"Business operations specialists, all other",Married,Marriage between a man and a woman,White,Yes,2,Oppose,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,4,$25000 or more,(Missing),Middle Atlantic,14,NA,Moderate,Too little,Too little,Too little,NA
58,2,45,14,12,12,NA,NA,NA,High school diploma,Female,10,"Unempl, laid off",NA,NA,Someone else,Private,"Office clerks, general",Never married,NA,Black,Yes,NA,Favor,NA,Protestant,No denomination,NA,Not too happy,Good,Routine,Ballot a,NA,Too little,2,$8000 to 9999,$8000 to 9999,Middle Atlantic,8175,Independent,(Missing),Too much,Too little,Too little,NA
59,0,23,11,NA,NA,NA,NA,NA,NA,Male,3,Working fulltime,35,NA,Someone else,Private,"Laborers and freight, stock, and material movers, hand",Never married,NA,White,Yes,Govt reduce diff,Oppose,Legal,Catholic,NA,NA,Pretty happy,Fair,Exciting,Ballot c,About right,About right,4,$25000 or more,$25000 or more,Middle Atlantic,8175,Democrat,Conservative,NA,NA,NA,NA
60,2,28,9,NA,12,NA,NA,NA,Ged,Female,5,Working parttime,29,NA,Someone else,Private,Retail salespersons,Separated,NA,Black,Yes,2,Oppose,Legal,None,NA,NA,Not too happy,NA,NA,Ballot b,Too little,Too little,3,$7000 to 7999,$6000 to 6999,Middle Atlantic,8175,Democrat,Moderate,NA,NA,NA,NA
61,1,27,13,12,12,14,NA,NA,High school diploma,Female,10,Keeping house,NA,NA,Self-employed,Private,Maids and housekeeping cleaners,Married,Marriage between a man and a woman,Black,Yes,NA,Oppose,NA,Other,NA,NA,Pretty happy,Fair,Exciting,Ballot a,About right,Too little,3,$5000 to 5999,$3000 to 3999,Middle Atlantic,8175,Democrat,Liberal,About right,Too little,Too little,NA
62,3,42,10,NA,11,12,NA,NA,NA,Female,4,Working parttime,25,NA,Someone else,Private,Childcare workers,Married,Marriage between a man and a woman,Black,Yes,Govt reduce diff,Oppose,Legal,Protestant,Baptist-dk which,NA,Not too happy,NA,NA,Ballot b,Too little,Too little,3,$25000 or more,$20000 - 24999,Middle Atlantic,8175,Democrat,Extremely liberal,Too much,Too little,Too little,NA
63,0,41,16,12,12,NA,Art,NA,High school diploma,Female,2,Working fulltime,35,NA,Someone else,Private,"Sales representatives, services, all other",Never married,NA,Black,Yes,NA,Oppose,NA,Protestant,Afr meth ep zion,NA,Pretty happy,Good,Routine,Ballot a,Too little,Too little,1,$25000 or more,$25000 or more,Middle Atlantic,8175,Democrat,Moderate,Too little,Too little,Too little,NA
64,1,64,13,8,8,NA,NA,NA,Ged,Female,8,Retired,NA,NA,Someone else,Private,"Nursing, psychiatric, and home health aides",Widowed,NA,Black,No,NA,Favor,NA,Protestant,Other baptists,NA,Pretty happy,Excellent,Exciting,Ballot a,Too little,Too little,1,$25000 or more,(Missing),Middle Atlantic,8175,Democrat,Moderate,NA,NA,NA,20
65,4,53,12,12,12,NA,NA,NA,NA,Male,7,Retired,NA,NA,Someone else,NA,Miscellaneous assemblers and fabricators,Never married,NA,Black,Yes,Govt reduce diff,Oppose,Not legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,1,(Missing),(Missing),Middle Atlantic,8175,Independent,Moderate,NA,NA,NA,NA
66,4,79,20,6,8,NA,Business administration,Finance,Ged,Male,6,Retired,NA,NA,Self-employed,Government,Accountants and auditors,Divorced,NA,Black,No,NA,Oppose,NA,Protestant,Baptist-dk which,NA,Not too happy,Excellent,Routine,Ballot a,Too little,About right,1,$20000 - 24999,(Missing),Middle Atlantic,8175,Independent,Liberal,About right,Too little,Too much,40
67,3,34,14,NA,16,16,NA,NA,High school diploma,Male,8,Working fulltime,45,NA,Someone else,Government,Bus drivers,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,Baptist-dk which,NA,Pretty happy,Fair,Routine,Ballot a,About right,About right,1,$25000 or more,$25000 or more,Middle Atlantic,8175,Democrat,Conservative,NA,NA,NA,NA
68,3,59,14,NA,12,NA,NA,NA,High school diploma,Female,3,Retired,NA,NA,Someone else,Government,Secretaries and administrative assistants,Separated,NA,Black,Yes,Govt reduce diff,Oppose,Legal,Protestant,No denomination,NA,Very happy,Good,Exciting,Ballot c,About right,Too little,2,$25000 or more,(Missing),Middle Atlantic,8175,Democrat,Moderate,NA,NA,NA,NA
69,0,32,19,16,16,NA,Health,NA,High school diploma,Female,1,Working fulltime,55,NA,Someone else,Private,"Securities, commodities, and financial services sales agents",Never married,NA,Black,Yes,NA,Oppose,NA,Protestant,Other,7th Day Adventist,Pretty happy,Excellent,Exciting,Ballot a,About right,About right,1,$25000 or more,$25000 or more,Middle Atlantic,8175,Democrat,Slightly liberal,About right,Too little,Too much,NA
70,3,33,16,NA,12,11,English,NA,High school diploma,Female,1,Keeping house,NA,NA,Someone else,Government,Social workers,Married,Marriage between a man and a woman,Black,Yes,Govt reduce diff,Oppose,Not legal,Protestant,Other,Christian; Central Christian,Very happy,NA,NA,Ballot b,Too little,Too little,5,$15000 - 19999,(Missing),Middle Atlantic,8175,Democrat,Extremely liberal,Too much,Too little,Too little,NA
71,0,35,15,NA,14,NA,NA,NA,Ged,Male,5,Keeping house,NA,NA,NA,NA,NA,Never married,NA,White,Yes,No govt action,Favor,Not legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,1,$8000 to 9999,(Missing),Middle Atlantic,8175,Democrat,Moderate,NA,NA,NA,NA
72,0,37,16,20,20,18,Business administration,NA,High school diploma,Male,1,Working fulltime,75,NA,Someone else,Private,Food service managers,Married,Marriage between a man and a woman,Black,No,3,NA,Not legal,Protestant,No denomination,NA,Pretty happy,NA,NA,Ballot b,About right,About right,2,$25000 or more,$25000 or more,Middle Atlantic,8175,Democrat,Liberal,NA,NA,NA,16
73,0,28,16,NA,14,16,Marketing,NA,High school diploma,Female,2,Keeping house,NA,NA,Someone else,Private,Cashiers,Married,Marriage between a man and a woman,Other,No,NA,Favor,NA,None,NA,NA,Very happy,Good,Exciting,Ballot a,About right,Too little,2,$25000 or more,(Missing),Middle Atlantic,8175,NA,Slightly liberal,NA,Too little,Too little,NA
